seat,midterm,w_total,h_total,q_total,final,total
45,75,50,45,75,136,381
22,65,50,45,76.66666667,188,425
41,56,44.54545455,47,83.33333333,142,373
27,97,50,45.5,93.33333333,171,457
38,51,50,43,75,111,330
10,76,44.54545455,49,76.66666667,176,422
1,65,48.88888889,44,83.33333333,150,391
15,51,50,44,95,160,400
16,63,50,46.5,76.66666667,143,379
49,67,50,43,90,139,389
20,58,50,45.5,93.33333333,136,383
17,79,50,44.5,96.66666667,183,453
4,66,50,44,93.33333333,164,417
18,52,49.09090909,45,96.66666667,134,377
3,89,50,47,95,185,466
48,73,50,47.5,91.66666667,89,351
6,60,50,45,94.16666667,154,403
54,64,45.45454545,48.5,78.33333333,170,406
7,38,50,45,73.33333333,135,341
5,76,50,46.5,96.66666667,156,425
51,84,50,45.5,86.66666667,125,391
2,56,49.09090909,44,71.66666667,131,352
50,39,50,46.5,68.33333333,123,327
47,75,50,47.5,91.66666667,150,414
25,62,48,43,90,152,395
43,48,50,43.5,85,146,373
31,54,50,46,98.33333333,160,408
46,54,50,42.5,90,153,390
24,63,49.09090909,44,98.33333333,111,365
44,65,50,46,86.66666667,163,411
28,65,50,47,98.33333333,142,402
8,55,50,39.5,98.33333333,144,387
35,48,49.09090909,44.5,91.66666667,164,397
26,33,49.09090909,47,76.66666667,89,295
21,34,50,44,96.66666667,164,389
11,74,50,47,86.66666667,128,386
12,55,50,45.5,100,158,409
52,39,50,42.5,86.66666667,152,370
32,80,50,48,100,164,442
29,66,50,46,96.66666667,172,431
37,71,49.09090909,45,61.66666667,140,367
40,83,50,46,91.66666667,131,402
39,68,50,47.5,96.66666667,161,423
36,61,48.18181818,47,86.66666667,142,385
9,69,44.54545455,45.5,76.66666667,123,359
19,91,49.09090909,46,93.33333333,166,445
42,74,44.54545455,48.5,70,135,372
14,75,47.27272727,45,98.33333333,177,443
34,66,48.18181818,47,86.66666667,127,375
23,79,49.09090909,45.5,96.66666667,184,454
33,54,48.18181818,46,85,182,415
53,74,45.45454545,47,60,121,347
13,58,47.27272727,47.5,96.66666667,168,417
30,48,50,45,95,133,371
5,54,50,48.5,92.5,99,344
36,95,50,48.5,98.33333333,138,430
32,54,50,46.5,86.66666667,87,324
12,85,45.45454545,48,91.66666667,166,436
42,42,50,46.5,98.33333333,114,351
16,56,49.09090909,47,100,160,412
31,57,50,47.5,85,140,380
8,41,50,49,90,118,348
46,57,50,49,98.33333333,110,364
20,80,49.09090909,49.5,100,138,417
34,55,50,49,100,139,393
22,61,50,48,80,150,389
47,58,49.09090909,49,98.33333333,128,382
43,63,50,45.5,90,133,382
44,53,50,48.5,100,90,342
41,66,50,48,85,135,384
48,66,50,49,88.33333333,131,384
21,60,50,49,88.33333333,143,390
33,64,49.09090909,48.5,90,114,366
6,63,50,48.5,98.33333333,131,391
23,82,50,48,95,147,422
24,72,50,49,95.83333333,152,419
29,80,50,47,91.66666667,136,405
30,55,50,47,95,145,392
14,47,50,47.5,91.66666667,147,383
10,47,50,47,95,77,316
28,87,50,49,97.5,142,426
2,58,50,47.5,99.16666667,134,389
9,74,50,47,96.66666667,156,424
27,93,50,48.5,96.66666667,145,433
39,79,50,47,95,165,436
52,79,49.09090909,47,91.66666667,131,398
3,71,50,47,99.16666667,125,392
7,74,49.09090909,49.5,91.66666667,122,386
35,79,49.09090909,49,98.33333333,103,378
25,55,50,47.5,98.33333333,130,381
1,65,49.09090909,44,92.5,117,368
18,45,50,47.5,90,134,367
4,71,50,47.5,98.33333333,134,401
26,73,45.45454545,49.5,98.33333333,131,397
50,74,49.09090909,48,86.66666667,132,390
40,62,50,47,93.33333333,115,367
13,71,50,49,98.33333333,112,380
51,85,49.09090909,49,91.66666667,151,426
49,74,49.09090909,48.5,95,136,403
38,93,50,47.5,100,116,407
53,101,50,48.5,100,176,476
54,110,50,48.5,100,173,482
37,86,50,47.5,100,146,430
19,63,50,47.5,98.33333333,123,382
15,95,50,47,100,151,443
45,76,50,49,100,162,437
11,78,49.09090909,48,91.66666667,162,429
17,93,45.45454545,41,76.66666667,163,419
8,66,49.09090909,48.5,95,111,370
11,74,50,44.5,88.33333333,121,378
17,73,49.09090909,47.5,93.33333333,152,415
50,69,50,42.5,96.66666667,128,386
27,90,49.09090909,48,89.16666667,131,407
6,81,48.18181818,47.5,100,146,423
13,91,50,49,100,152,442
31,80,49.09090909,45,86.66666667,127,388
53,52,50,44,100,135,381
16,79,48.18181818,47,95,129,398
43,78,50,43.5,71.66666667,132,375
35,56,50,45,88.33333333,144,383
54,82,50,43.5,93.33333333,127,396
26,48,49.09090909,44.5,83.33333333,123,348
37,77,50,44.5,100,126,398
48,67,50,44.5,98.33333333,140,400
41,69,50,43.5,90,110,363
20,88,50,43,100,141,422
51,,0,,0,,0
2,66,50,43.5,90,116,366
40,72,50,44,100,137,403
18,75,49.09090909,47.5,95,149,416
42,70,48.18181818,44.5,81.66666667,123,367
5,85,48.18181818,46.5,100,127,407
7,77,49.09090909,47,100,106,379
12,66,50,44,90,81,331
3,,0,10,0,,10
4,96,47.27272727,47.5,100,185,476
19,87,50,42.5,96.66666667,148,424
10,72,50,45.5,100,172,440
45,47,50,43.5,86.66666667,132,359
1,62,49.09090909,44.5,81.66666667,86,323
33,68,50,46.5,94.16666667,132,391
23,61,49.09090909,48,91.66666667,106,356
46,40,50,46.5,83.33333333,113,333
24,55,50,47.5,76.66666667,125,354
30,59,50,43.5,91.66666667,143,387
34,66,50,44.5,94.16666667,161,416
44,52,49.09090909,44,81.66666667,118,345
21,87,50,44.5,93.33333333,143,418
38,85,50,42.5,100,172,450
39,70,50,41,100,130,391
22,89,50,44,91.66666667,152,427
25,85,49.09090909,45,85,117,381
49,67,50,42,100,126,385
15,85,48.18181818,47,95,127,402
47,49,50,44,100,121,364
29,62,50,44.5,94.16666667,114,365
28,71,48.18181818,47,85,119,370
32,35,50,44,80,85,294
14,58,50,48.5,98.33333333,111,366
36,83,50,45.5,86.66666667,131,396
52,62,48.18181818,48,96.66666667,126,381
9,72,50,43.5,93.33333333,146,405
49,88,50,46,98.33333333,148,430
6,82,50,47,98.33333333,157,434
50,84,50,47,96.66666667,110,388
20,73,49.09090909,45.5,81.66666667,98,347
29,83,50,45,93.33333333,133,404
31,76,49.09090909,45,98.33333333,145,413
37,73,50,46.5,93.33333333,132,395
9,65,50,44.5,100,160,420
53,76,49.09090909,45.5,90,116,377
1,90,40,43,45.83333333,81,300
39,79,50,45.5,100,133,408
12,81,50,45.5,96.66666667,140,413
19,76,49.09090909,46,86.66666667,135,393
54,60,48.18181818,45.5,91.66666667,120,365
30,88,50,45.5,95,139,418
22,67,50,44,96.66666667,124,382
8,87,50,45,100,123,405
7,98,50,48,100,183,479
40,70,50,45,100,96,361
43,64,50,47.5,93.33333333,123,378
15,85,50,48,100,146,429
21,63,50,45.5,96.66666667,172,427
14,86,50,47.5,96.66666667,171,451
45,71,50,46,91.66666667,173,432
4,85,50,47.5,100,137,420
36,73,50,43.5,98.33333333,156,421
11,78,50,44.5,100,124,397
18,73,50,47,95,150,415
23,68,50,44.5,93.33333333,124,380
47,69,50,47,95,138,399
27,98,50,50,100,148,446
38,63,50,45.5,86.66666667,144,389
42,97,50,48,98.33333333,188,481
48,55,50,47.5,95,155,403
28,63,50,47,99.16666667,118,377
5,71,50,47,98.33333333,148,414
10,57,49.09090909,47,94.16666667,118,365
13,56,50,46,96.66666667,137,386
2,74,50,48,93.33333333,138,403
35,67,50,45.5,83.33333333,153,399
26,77,50,46,96.66666667,155,425
25,48,50,46.5,98.33333333,145,388
41,89,50,48.5,100,160,448
52,57,50,47.5,96.66666667,127,378
32,75,50,46,95,136,402
33,85,50,47.5,96.66666667,138,417
44,66,50,47.5,91.66666667,128,383
24,70,50,45.5,98.33333333,163,427
46,50,50,47,95,104,346
16,82,50,47,100,161,440
34,57,50,37,98.33333333,101,343
17,80,50,47.5,100,169,447
3,,0,,0,138.8653846,403.6153846
51,,0,,0,188,
33,80,50,46.5,95,141,413
22,67,49.09090909,44,96.66666667,110,367
1,81,50,47.5,100,174,453
51,63,50,47.5,86.66666667,132,379
45,62,48.18181818,47,86.66666667,125,369
24,72,50,44.5,98.33333333,123,388
4,52,50,48.5,98.33333333,144,393
23,107,50,44,100,156,457
15,60,48.18181818,48,100,113,369
43,69,50,46.5,96.66666667,131,393
2,86,50,48,100,139,423
16,97,48.18181818,48,98,150,441
39,64,50,48.5,100,174,437
46,60,50,46.5,90.83333333,109,356
17,89,50,48.5,100,187,475
21,84,50,44,100,125,403
12,68,50,48.5,95,120,382
11,79,50,48.5,95,171,444
20,49,50,48,95,100,342
10,65,48.18181818,47.5,100,100,361
49,66,50,49.5,91.66666667,103,360
40,73,49.09090909,48,100,144,414
8,70,50,48,100,158,426
27,75,50,47.5,93.33333333,103,369
42,52,50,48.5,95,117,363
18,61,48.18181818,47,57.5,145,359
29,69,50,49,90,117,375
34,77,49.09090909,47,90,159,422
44,75,50,47.5,95,136,404
26,59,50,49,95,148,401
31,42,50,48,86.66666667,102,329
41,60,50,49.5,98.33333333,151,409
6,73,50,48.5,100,118,390
38,61,50,48.5,98.33333333,115,373
36,83,50,47.5,100,163,444
5,53,49.09090909,48,90,90,330
25,71,50,48.5,85,130,385
3,77,50,48.5,100,174,450
48,88,50,47,98.33333333,105,388
37,70,50,48.5,100,126,395
14,93,50,48.5,100,161,453
9,44,50,48,98.33333333,121,361
47,60,50,47.5,90.83333333,110,358
30,80,50,48.5,88.33333333,124,391
52,59,50,47,95,127,378
35,72,48.18181818,48.5,89.16666667,140,398
19,49,49.09090909,48.5,95,128,370
7,70,50,48.5,100,144,413
50,76,50,47,86.66666667,105,365
32,55,50,47,95,117,364
28,78,50,47,95,123,393
13,49,50,47.5,85,103,335
13,67,46.36363636,44.5,78.33333333,168,404
49,59,50,47,91.66666667,63,311
14,54,44.54545455,48,75,111,333
53,61,49.09090909,45.5,92.5,123,371
43,62,48.18181818,42.5,88.33333333,110,351
54,51,50,48.5,98.33333333,148,396
1,55,45.45454545,50,98.33333333,110,359
51,56,43.63636364,45.5,60,89,294
26,83,50,48.5,96.66666667,138,416
23,92,50,47.5,95,147,432
25,71,50,48,95,124,388
32,60,50,46.5,93.33333333,106,356
16,107,50,48.5,100,186,492
20,69,49.09090909,49,75,141,383
10,53,49.09090909,47,81.66666667,108,339
6,103,50,48.5,100,146,448
31,52,50,47.5,96.66666667,113,359
12,68,50,47.5,100,104,370
28,57,50,47.5,95,143,393
4,80,49.09090909,48.5,100,145,423
19,82,47.27272727,47,73.33333333,132,382
2,75,45.45454545,50,98.33333333,146,415
44,68,50,48,96.66666667,106,369
7,48,50,49.5,98.33333333,128,374
35,87,50,47,90,141,415
38,86,49.09090909,49,96.66666667,147,428
45,69,50,47.5,94.16666667,153,414
55,85,50,47,95,156,433
34,91,50,47.5,95,175,459
5,62,50,49,98.33333333,126,385
41,84,50,48,96.66666667,149,428
11,59,49.09090909,47,96.66666667,120,372
27,46,50,48,86.66666667,145,376
22,68,50,47.5,94.16666667,130,390
50,72,50,45.5,95,124,387
15,60,50,48,100,121,379
40,96,50,48.5,96.66666667,168,459
8,89,50,47.5,100,158,445
21,54,50,47.5,88.33333333,109,349
17,72,50,46.5,80,125,374
18,55,50,47.5,96.66666667,139,388
47,81,50,48.5,96.66666667,150,426
46,82,50,48.5,98.33333333,142,421
42,80,50,48,93.33333333,131,402
3,74,49.09090909,48.5,98.33333333,177,447
39,96,50,48.5,93.33333333,165,453
9,52,49.09090909,48,80,127,356
37,75,50,48,96.66666667,121,391
36,73,50,47,93.33333333,153,416
33,77,50,47,98.33333333,159,431
48,86,50,48.5,96.66666667,155,436
24,61,50,48,83.33333333,111,353
29,81,49.09090909,48.5,95,161,435
52,86,49.09090909,47.5,95,153,431
30,68,50,47.5,95,137,398
